Agglomération;Type d'habitat;Envergure;Année;Montants moyens des loyers (MAD);Indices des montants moyens des loyers
Aoussred;Maison sur lot économique;PT;2015;1029;109
Aoussred;Maison sur lot économique;PT;2016;1022;108
Aoussred;Maison sur lot économique;PT;2017;1075;114
Aoussred;Maison sur lot économique;PT;2018;1200;127
Aoussred;Maison sur lot économique;PT;2019;1256;133
Aoussred;Maison sur lot économique;PT;2020;1011;107
Aoussred;Maison sur lot économique;PT;2021;1543;163
Aoussred;Maison sur lot économique;PT;2022;1680;178
Aoussred;Total ville;MLE;2001;896;100
Aoussred;Total ville;MLE;2002;911;102
Aoussred;Total ville;MLE;2003;905;101
Aoussred;Total ville;MLE;2004;932;104
Aoussred;Total ville;MLE;2005;947;106
Aoussred;Total ville;MLE;2006;1012;113
Aoussred;Total ville;MLE;2007;1065;120
Aoussred;Total ville;MLE;2008;1103;124
Aoussred;Total ville;MLE;2009;1149;129
Aoussred;Total ville;MLE;2010;1160;131
Aoussred;Total ville;MLE;2011;1172;132
Aoussred;Total ville;MLE;2012;1184;134
Aoussred;Total ville;MLE;2013;1196;135
Aoussred;Total ville;MLE;2014;1206;136
Aoussred;Total ville;MLE;2015;1253;125
Aoussred;Total ville;MLE;2016;1248;125
Aoussred;Total ville;MLE;2017;1319;132
Aoussred;Total ville;MLE;2018;1384;138
Aoussred;Total ville;MLE;2019;1408;141
Aoussred;Total ville;MLE;2020;1147;121
Aoussred;Total ville;MLE;2021;1799;182
Aoussred;Total ville;MLE;2022;2032;226
Aoussred;Villa;GT;2001;5238;100
Aoussred;Villa;GT;2002;5500;105
Aoussred;Villa;GT;2003;5169;99
Aoussred;Villa;GT;2004;4756;91
Aoussred;Villa;GT;2005;4983;95
Aoussred;Villa;GT;2006;5171;99
Aoussred;Villa;GT;2007;5579;107
Aoussred;Villa;GT;2008;5614;107
