Agglomération;Type d'habitat;Envergure;Année;Montants moyens des loyers (MAD);Indices des montants moyens des loyers
Khémisset;Villa;GT;2006;7383;124
Khémisset;Villa;GT;2007;7527;126
Khémisset;Villa;GT;2008;7889;132
Khémisset;Villa;GT;2009;8073;135
Khémisset;Villa;GT;2010;8202;137
Khémisset;Villa;GT;2011;8231;138
Khémisset;Villa;GT;2012;8500;142
Khémisset;Villa;GT;2013;8650;145
Khémisset;Villa;GT;2014;8800;147
Khémisset;Villa;GT;2015;8989;151
Khémisset;Villa;GT;2016;9025;151
Khémisset;Villa;GT;2017;9042;152
Khémisset;Villa;GT;2018;9085;152
Khémisset;Villa;GT;2019;9115;153
Khémisset;Villa;GT;2020;8900;149
Khémisset;Villa;GT;2021;8940;150
Khémisset;Villa;GT;2022;9000;151
Khémisset;Villa;MT;2001;3497;100
Khémisset;Villa;MT;2002;3619;103
Khémisset;Villa;MT;2003;3834;110
Khémisset;Villa;MT;2004;4026;115
Khémisset;Villa;MT;2005;4144;118
Khémisset;Villa;MT;2006;4275;122
Khémisset;Villa;MT;2007;4461;128
Khémisset;Villa;MT;2008;4585;131
Khémisset;Villa;MT;2009;4700;134
Khémisset;Villa;MT;2010;4820;138
Khémisset;Villa;MT;2011;4938;141
Khémisset;Villa;MT;2012;5062;145
Khémisset;Villa;MT;2013;5153;147
Khémisset;Villa;MT;2014;5244;150
Khémisset;Villa;MT;2015;5346;153
Khémisset;Villa;MT;2016;5375;154
Khémisset;Villa;MT;2017;5380;154
Khémisset;Villa;MT;2018;5425;155
Khémisset;Villa;MT;2019;5495;157
Khémisset;Villa;MT;2020;5329;152
Khémisset;Villa;MT;2021;5388;154
Khémisset;Villa;MT;2022;5437;155
Khémisset;Villa;PT;2001;2127;100
Khémisset;Villa;PT;2002;2186;103
Khémisset;Villa;PT;2003;2297;108
Khémisset;Villa;PT;2004;2385;112
Khémisset;Villa;PT;2005;2428;114
Khémisset;Villa;PT;2006;2479;117
Khémisset;Villa;PT;2007;2673;126
Khémisset;Villa;PT;2008;2832;133
Khémisset;Villa;PT;2009;3051;143
Khémisset;Villa;PT;2010;3210;151
Khémisset;Villa;PT;2011;3306;155
Khémisset;Villa;PT;2012;3412;160
Khémisset;Villa;PT;2013;3471;163
Khémisset;Villa;PT;2014;3530;166
Khémisset;Villa;PT;2015;3604;169
Khémisset;Villa;PT;2016;3610;170
Khémisset;Villa;PT;2017;3610;170
Khémisset;Villa;PT;2018;3635;171
Khémisset;Villa;PT;2019;3685;173
Khémisset;Villa;PT;2020;3592;169
Khémisset;Villa;PT;2021;3663;172
Khémisset;Villa;PT;2022;3755;177
Khémisset;Villa;VIL;2001;4511;100
Khémisset;Villa;VIL;2002;4680;104
Khémisset;Villa;VIL;2003;4959;110
Khémisset;Villa;VIL;2004;5211;115
Khémisset;Villa;VIL;2005;5368;119
Khémisset;Villa;VIL;2006;5543;122
Khémisset;Villa;VIL;2007;5710;127
Khémisset;Villa;VIL;2008;5951;132
Khémisset;Villa;VIL;2009;6111;136
Khémisset;Villa;VIL;2010;6240;139
Khémisset;Villa;VIL;2011;6313;141
Khémisset;Villa;VIL;2012;6504;145
Khémisset;Villa;VIL;2013;6619;148
Khémisset;Villa;VIL;2014;6734;151
Khémisset;Villa;VIL;2015;6109;156
Khémisset;Villa;VIL;2016;6135;157
Khémisset;Villa;VIL;2017;6143;157
Khémisset;Villa;VIL;2018;6183;158
Khémisset;Villa;VIL;2019;6236;159
Khémisset;Villa;VIL;2020;6071;155
Khémisset;Villa;VIL;2021;6126;157
Khémisset;Villa;VIL;2022;6189;159
Kénitra;Appartement standing;APS;2001;2359;100
Kénitra;Appartement standing;APS;2002;2571;109
Kénitra;Appartement standing;APS;2003;2571;108
Kénitra;Appartement standing;APS;2004;2524;107
Kénitra;Appartement standing;APS;2005;2333;98
Kénitra;Appartement standing;APS;2006;2258;96
Kénitra;Appartement standing;APS;2007;2563;108
Kénitra;Appartement standing;APS;2008;3002;129
Kénitra;Appartement standing;APS;2009;3084;133
Kénitra;Appartement standing;APS;2010;3098;134
Kénitra;Appartement standing;APS;2011;3137;136
Kénitra;Appartement standing;APS;2012;3196;138
Kénitra;Appartement standing;APS;2013;3240;140
Kénitra;Appartement standing;APS;2014;3296;143
Kénitra;Appartement standing;APS;2015;3121;150
Kénitra;Appartement standing;APS;2016;3286;158
Kénitra;Appartement standing;APS;2017;3384;162
Kénitra;Appartement standing;APS;2018;3456;166
Kénitra;Appartement standing;APS;2019;3533;170
Kénitra;Appartement standing;APS;2020;3488;167
Kénitra;Appartement standing;APS;2021;3515;169
Kénitra;Appartement standing;APS;2022;3612;174
Kénitra;Appartement standing;GT;2001;3083;100
Kénitra;Appartement standing;GT;2002;3438;112
Kénitra;Appartement standing;GT;2003;3678;119
Kénitra;Appartement standing;GT;2004;3356;109
Kénitra;Appartement standing;GT;2005;3236;105
Kénitra;Appartement standing;GT;2006;3000;97
Kénitra;Appartement standing;GT;2007;3412;111
Kénitra;Appartement standing;GT;2008;3828;124
Kénitra;Appartement standing;GT;2009;3848;125
Kénitra;Appartement standing;GT;2010;3860;125
Kénitra;Appartement standing;GT;2011;3860;125
Kénitra;Appartement standing;GT;2012;3923;127
Kénitra;Appartement standing;GT;2013;3966;129
Kénitra;Appartement standing;GT;2014;4022;130
Kénitra;Appartement standing;GT;2015;4028;131
Kénitra;Appartement standing;GT;2016;4175;135
Kénitra;Appartement standing;GT;2017;4300;139
Kénitra;Appartement standing;GT;2018;4395;143
Kénitra;Appartement standing;GT;2019;4435;144
Kénitra;Appartement standing;GT;2020;4402;143
Kénitra;Appartement standing;GT;2021;4436;144
Kénitra;Appartement standing;GT;2022;4525;147
Kénitra;Appartement standing;MT;2001;2173;100
Kénitra;Appartement standing;MT;2002;2320;107
Kénitra;Appartement standing;MT;2003;2169;100
Kénitra;Appartement standing;MT;2004;2258;104
Kénitra;Appartement standing;MT;2005;2045;94
Kénitra;Appartement standing;MT;2006;2048;94
Kénitra;Appartement standing;MT;2007;2317;107
Kénitra;Appartement standing;MT;2008;2750;127
Kénitra;Appartement standing;MT;2009;2834;130
Kénitra;Appartement standing;MT;2010;2850;131
