Agglomération;Type d'habitat;Envergure;Année;Montants moyens des loyers (MAD);Indices des montants moyens des loyers
Région;Appartement économique;MT;2020;2347;198
Région;Appartement économique;MT;2021;2413;205
Région;Appartement économique;MT;2022;2517;214
Région;Appartement économique;PT;2001;937;100
Région;Appartement économique;PT;2002;974;104
Région;Appartement économique;PT;2003;1034;110
Région;Appartement économique;PT;2004;1100;118
Région;Appartement économique;PT;2005;1135;124
Région;Appartement économique;PT;2006;1163;127
Région;Appartement économique;PT;2007;1213;133
Région;Appartement économique;PT;2008;1260;138
Région;Appartement économique;PT;2009;1301;142
Région;Appartement économique;PT;2010;1396;153
Région;Appartement économique;PT;2011;1475;161
Région;Appartement économique;PT;2012;1489;163
Région;Appartement économique;PT;2013;1516;166
Région;Appartement économique;PT;2014;1541;169
Région;Appartement économique;PT;2015;1541;174
Région;Appartement économique;PT;2016;1548;175
Région;Appartement économique;PT;2017;1563;177
Région;Appartement économique;PT;2018;1610;182
Région;Appartement économique;PT;2019;1667;189
Région;Appartement économique;PT;2020;1653;187
Région;Appartement économique;PT;2021;1717;195
Région;Appartement économique;PT;2022;1805;205
Région;Maison sur lot économique;GT;2001;1490;100
Région;Maison sur lot économique;GT;2002;1559;105
Région;Maison sur lot économique;GT;2003;1644;110
Région;Maison sur lot économique;GT;2004;1717;115
Région;Maison sur lot économique;GT;2005;1770;120
Région;Maison sur lot économique;GT;2006;1831;125
Région;Maison sur lot économique;GT;2007;1882;128
Région;Maison sur lot économique;GT;2008;1956;133
Région;Maison sur lot économique;GT;2009;2032;138
Région;Maison sur lot économique;GT;2010;2183;149
Région;Maison sur lot économique;GT;2011;2289;156
Région;Maison sur lot économique;GT;2012;2371;161
Région;Maison sur lot économique;GT;2013;2402;164
Région;Maison sur lot économique;GT;2014;2405;164
Région;Maison sur lot économique;GT;2015;2396;167
Région;Maison sur lot économique;GT;2016;2417;169
Région;Maison sur lot économique;GT;2017;2435;170
Région;Maison sur lot économique;GT;2018;2499;175
Région;Maison sur lot économique;GT;2019;2579;180
Région;Maison sur lot économique;GT;2020;2558;179
Région;Maison sur lot économique;GT;2021;2618;183
Région;Maison sur lot économique;GT;2022;2695;189
Région;Maison sur lot économique;MLE;2001;1106;100
Région;Maison sur lot économique;MLE;2002;1160;105
Région;Maison sur lot économique;MLE;2003;1218;110
Région;Maison sur lot économique;MLE;2004;1282;116
Région;Maison sur lot économique;MLE;2005;1322;122
Région;Maison sur lot économique;MLE;2006;1369;127
Région;Maison sur lot économique;MLE;2007;1415;131
Région;Maison sur lot économique;MLE;2008;1492;139
Région;Maison sur lot économique;MLE;2009;1570;146
Région;Maison sur lot économique;MLE;2010;1657;154
Région;Maison sur lot économique;MLE;2011;1739;161
Région;Maison sur lot économique;MLE;2012;1807;168
Région;Maison sur lot économique;MLE;2013;1849;172
Région;Maison sur lot économique;MLE;2014;1885;175
Région;Maison sur lot économique;MLE;2015;1844;182
Région;Maison sur lot économique;MLE;2016;1860;183
Région;Maison sur lot économique;MLE;2017;1876;185
Région;Maison sur lot économique;MLE;2018;1927;191
Région;Maison sur lot économique;MLE;2019;1985;197
Région;Maison sur lot économique;MLE;2020;1961;194
Région;Maison sur lot économique;MLE;2021;2025;201
Région;Maison sur lot économique;MLE;2022;2119;211
Région;Maison sur lot économique;MT;2001;1056;100
Région;Maison sur lot économique;MT;2002;1104;104
Région;Maison sur lot économique;MT;2003;1153;109
Région;Maison sur lot économique;MT;2004;1219;115
Région;Maison sur lot économique;MT;2005;1264;122
Région;Maison sur lot économique;MT;2006;1311;127
Région;Maison sur lot économique;MT;2007;1352;131
