Agglomération;Type d'habitat;Envergure;Année;Montants moyens des loyers (MAD);Indices des montants moyens des loyers
Berkane;Maison sur lot économique;GT;2011;1670;134
Berkane;Maison sur lot économique;GT;2012;1681;134
Berkane;Maison sur lot économique;GT;2013;1694;136
Berkane;Maison sur lot économique;GT;2014;1700;136
Berkane;Maison sur lot économique;GT;2015;1751;140
Berkane;Maison sur lot économique;GT;2016;1818;146
Berkane;Maison sur lot économique;GT;2017;1901;152
Berkane;Maison sur lot économique;GT;2018;1934;155
Berkane;Maison sur lot économique;GT;2019;1944;156
Berkane;Maison sur lot économique;GT;2020;1926;154
Berkane;Maison sur lot économique;GT;2021;1984;159
Berkane;Maison sur lot économique;GT;2022;2041;163
Berkane;Maison sur lot économique;MLE;2001;920;100
Berkane;Maison sur lot économique;MLE;2002;953;104
Berkane;Maison sur lot économique;MLE;2003;983;107
Berkane;Maison sur lot économique;MLE;2004;1014;110
Berkane;Maison sur lot économique;MLE;2005;1052;114
Berkane;Maison sur lot économique;MLE;2006;1086;118
Berkane;Maison sur lot économique;MLE;2007;1141;124
Berkane;Maison sur lot économique;MLE;2008;1198;130
Berkane;Maison sur lot économique;MLE;2009;1243;135
Berkane;Maison sur lot économique;MLE;2010;1279;139
Berkane;Maison sur lot économique;MLE;2011;1298;141
Berkane;Maison sur lot économique;MLE;2012;1332;145
Berkane;Maison sur lot économique;MLE;2013;1355;148
Berkane;Maison sur lot économique;MLE;2014;1371;150
Berkane;Maison sur lot économique;MLE;2015;1363;156
Berkane;Maison sur lot économique;MLE;2016;1407;161
Berkane;Maison sur lot économique;MLE;2017;1481;170
Berkane;Maison sur lot économique;MLE;2018;1508;173
Berkane;Maison sur lot économique;MLE;2019;1527;175
Berkane;Maison sur lot économique;MLE;2020;1511;174
Berkane;Maison sur lot économique;MLE;2021;1561;179
Berkane;Maison sur lot économique;MLE;2022;1617;186
Berkane;Maison sur lot économique;MT;2001;847;100
Berkane;Maison sur lot économique;MT;2002;878;104
Berkane;Maison sur lot économique;MT;2003;920;109
Berkane;Maison sur lot économique;MT;2004;959;113
Berkane;Maison sur lot économique;MT;2005;1002;118
Berkane;Maison sur lot économique;MT;2006;1045;123
Berkane;Maison sur lot économique;MT;2007;1103;130
Berkane;Maison sur lot économique;MT;2008;1163;137
Berkane;Maison sur lot économique;MT;2009;1214;143
Berkane;Maison sur lot économique;MT;2010;1251;148
Berkane;Maison sur lot économique;MT;2011;1276;151
Berkane;Maison sur lot économique;MT;2012;1328;157
Berkane;Maison sur lot économique;MT;2013;1354;160
Berkane;Maison sur lot économique;MT;2014;1373;162
Berkane;Maison sur lot économique;MT;2015;1429;169
Berkane;Maison sur lot économique;MT;2016;1474;174
Berkane;Maison sur lot économique;MT;2017;1558;184
Berkane;Maison sur lot économique;MT;2018;1586;187
Berkane;Maison sur lot économique;MT;2019;1599;189
Berkane;Maison sur lot économique;MT;2020;1583;187
Berkane;Maison sur lot économique;MT;2021;1636;193
Berkane;Maison sur lot économique;MT;2022;1694;200
Berkane;Maison sur lot économique;PT;2001;661;100
Berkane;Maison sur lot économique;PT;2002;678;103
Berkane;Maison sur lot économique;PT;2003;686;104
Berkane;Maison sur lot économique;PT;2004;682;103
Berkane;Maison sur lot économique;PT;2005;682;103
Berkane;Maison sur lot économique;PT;2006;686;104
Berkane;Maison sur lot économique;PT;2007;711;108
Berkane;Maison sur lot économique;PT;2008;747;113
Berkane;Maison sur lot économique;PT;2009;777;118
Berkane;Maison sur lot économique;PT;2010;807;122
Berkane;Maison sur lot économique;PT;2011;826;125
Berkane;Maison sur lot économique;PT;2012;841;127
Berkane;Maison sur lot économique;PT;2013;869;131
