Agglomération;Type d'habitat;Envergure;Année;Montants moyens des honoraires des agents immobiliers;Indices des montants moyens des honoraires des agents immobiliers
Errachidia;Appartement économique;GT;2015;652;111
Errachidia;Appartement économique;GT;2016;660;112
Errachidia;Appartement économique;GT;2017;710;121
Errachidia;Appartement économique;GT;2018;760;129
Errachidia;Appartement économique;GT;2019;820;139
Errachidia;Appartement économique;GT;2020;799;136
Errachidia;Appartement économique;GT;2021;823;140
Errachidia;Appartement économique;GT;2022;837;142
Errachidia;Appartement économique;MT;2001;399;100
Errachidia;Appartement économique;MT;2002;408;102
Errachidia;Appartement économique;MT;2003;410;103
Errachidia;Appartement économique;MT;2004;413;103
Errachidia;Appartement économique;MT;2005;415;104
Errachidia;Appartement économique;MT;2006;417;104
Errachidia;Appartement économique;MT;2007;419;105
Errachidia;Appartement économique;MT;2008;421;105
Errachidia;Appartement économique;MT;2009;423;106
Errachidia;Appartement économique;MT;2010;425;106
Errachidia;Appartement économique;MT;2011;427;107
Errachidia;Appartement économique;MT;2012;429;108
Errachidia;Appartement économique;MT;2013;448;112
Errachidia;Appartement économique;MT;2014;468;117
Errachidia;Appartement économique;MT;2015;488;122
Errachidia;Appartement économique;MT;2016;510;128
Errachidia;Appartement économique;MT;2017;548;137
Errachidia;Appartement économique;MT;2018;584;146
Errachidia;Appartement économique;MT;2019;621;156
Errachidia;Appartement économique;MT;2020;599;150
Errachidia;Appartement économique;MT;2021;623;156
Errachidia;Appartement économique;MT;2022;638;160
Errachidia;Appartement économique;PT;2001;301;100
Errachidia;Appartement économique;PT;2002;307;102
Errachidia;Appartement économique;PT;2003;311;103
Errachidia;Appartement économique;PT;2004;314;104
Errachidia;Appartement économique;PT;2005;317;105
Errachidia;Appartement économique;PT;2006;321;107
Errachidia;Appartement économique;PT;2007;324;108
Errachidia;Appartement économique;PT;2008;328;109
Errachidia;Appartement économique;PT;2009;332;110
Errachidia;Appartement économique;PT;2010;335;111
Errachidia;Appartement économique;PT;2011;339;113
Errachidia;Appartement économique;PT;2012;342;114
Errachidia;Appartement économique;PT;2013;360;120
Errachidia;Appartement économique;PT;2014;378;126
Errachidia;Appartement économique;PT;2015;397;132
Errachidia;Appartement économique;PT;2016;417;139
Errachidia;Appartement économique;PT;2017;445;148
Errachidia;Appartement économique;PT;2018;470;156
Errachidia;Appartement économique;PT;2019;492;164
Errachidia;Appartement économique;PT;2020;471;156
Errachidia;Appartement économique;PT;2021;488;162
Errachidia;Appartement économique;PT;2022;491;163
Errachidia;Maison sur lot économique;GT;2001;553;100
Errachidia;Maison sur lot économique;GT;2002;562;101
Errachidia;Maison sur lot économique;GT;2003;566;102
Errachidia;Maison sur lot économique;GT;2004;571;103
Errachidia;Maison sur lot économique;GT;2005;576;104
Errachidia;Maison sur lot économique;GT;2006;581;105
Errachidia;Maison sur lot économique;GT;2007;586;106
Errachidia;Maison sur lot économique;GT;2008;591;107
Errachidia;Maison sur lot économique;GT;2009;596;108
Errachidia;Maison sur lot économique;GT;2010;601;109
Errachidia;Maison sur lot économique;GT;2011;606;110
Errachidia;Maison sur lot économique;GT;2012;611;110
Errachidia;Maison sur lot économique;GT;2013;621;112
Errachidia;Maison sur lot économique;GT;2014;630;114
Errachidia;Maison sur lot économique;GT;2015;651;118
Errachidia;Maison sur lot économique;GT;2016;670;121
Errachidia;Maison sur lot économique;GT;2017;698;126
Errachidia;Maison sur lot économique;GT;2018;722;130
Errachidia;Maison sur lot économique;GT;2019;745;135
Errachidia;Maison sur lot économique;GT;2020;725;131
Errachidia;Maison sur lot économique;GT;2021;762;138
Errachidia;Maison sur lot économique;GT;2022;776;140
Errachidia;Maison sur lot économique;MLE;2001;452;100
Errachidia;Maison sur lot économique;MLE;2002;460;102
Errachidia;Maison sur lot économique;MLE;2003;464;103
Errachidia;Maison sur lot économique;MLE;2004;467;103
Errachidia;Maison sur lot économique;MLE;2005;471;104
Errachidia;Maison sur lot économique;MLE;2006;474;105
Errachidia;Maison sur lot économique;MLE;2007;478;106
Errachidia;Maison sur lot économique;MLE;2008;482;107
Errachidia;Maison sur lot économique;MLE;2009;485;107
Errachidia;Maison sur lot économique;MLE;2010;489;108
Errachidia;Maison sur lot économique;MLE;2011;493;109
Errachidia;Maison sur lot économique;MLE;2012;497;110
Errachidia;Maison sur lot économique;MLE;2013;505;112
Errachidia;Maison sur lot économique;MLE;2014;516;114
Errachidia;Maison sur lot économique;MLE;2015;498;117
Errachidia;Maison sur lot économique;MLE;2016;508;120
Errachidia;Maison sur lot économique;MLE;2017;523;123
Errachidia;Maison sur lot économique;MLE;2018;536;126
Errachidia;Maison sur lot économique;MLE;2019;561;132
Errachidia;Maison sur lot économique;MLE;2020;537;126
Errachidia;Maison sur lot économique;MLE;2021;565;133
Errachidia;Maison sur lot économique;MLE;2022;577;136
Errachidia;Maison sur lot économique;MT;2001;427;100
Errachidia;Maison sur lot économique;MT;2002;437;102
Errachidia;Maison sur lot économique;MT;2003;440;103
Errachidia;Maison sur lot économique;MT;2004;443;104
Errachidia;Maison sur lot économique;MT;2005;446;104
Errachidia;Maison sur lot économique;MT;2006;449;105
Errachidia;Maison sur lot économique;MT;2007;452;106
Errachidia;Maison sur lot économique;MT;2008;456;107
Errachidia;Maison sur lot économique;MT;2009;459;107
Errachidia;Maison sur lot économique;MT;2010;462;108
Errachidia;Maison sur lot économique;MT;2011;465;109
Errachidia;Maison sur lot économique;MT;2012;468;110
Errachidia;Maison sur lot économique;MT;2013;478;112
Errachidia;Maison sur lot économique;MT;2014;488;114
Errachidia;Maison sur lot économique;MT;2015;498;117
Errachidia;Maison sur lot économique;MT;2016;506;119
Errachidia;Maison sur lot économique;MT;2017;516;121
Errachidia;Maison sur lot économique;MT;2018;527;123
Errachidia;Maison sur lot économique;MT;2019;553;130
Errachidia;Maison sur lot économique;MT;2020;532;125
Errachidia;Maison sur lot économique;MT;2021;557;131
Errachidia;Maison sur lot économique;MT;2022;573;134
Errachidia;Maison sur lot économique;PT;2001;323;100
Errachidia;Maison sur lot économique;PT;2002;329;102
Errachidia;Maison sur lot économique;PT;2003;331;102
Errachidia;Maison sur lot économique;PT;2004;333;103
Errachidia;Maison sur lot économique;PT;2005;336;104
Errachidia;Maison sur lot économique;PT;2006;338;105
Errachidia;Maison sur lot économique;PT;2007;341;105
Errachidia;Maison sur lot économique;PT;2008;343;106
Errachidia;Maison sur lot économique;PT;2009;346;107
Errachidia;Maison sur lot économique;PT;2010;348;108
Errachidia;Maison sur lot économique;PT;2011;351;108
Errachidia;Maison sur lot économique;PT;2012;353;109
Errachidia;Maison sur lot économique;PT;2013;359;111
Errachidia;Maison sur lot économique;PT;2014;371;115
Errachidia;Maison sur lot économique;PT;2015;384;119
Errachidia;Maison sur lot économique;PT;2016;390;121
Errachidia;Maison sur lot économique;PT;2017;405;125
Errachidia;Maison sur lot économique;PT;2018;417;129
Errachidia;Maison sur lot économique;PT;2019;440;136
Errachidia;Maison sur lot économique;PT;2020;409;127
Errachidia;Maison sur lot économique;PT;2021;433;134
Errachidia;Maison sur lot économique;PT;2022;436;135
Errachidia;Total ville;MLE;2001;510;100
Errachidia;Total ville;MLE;2002;519;102
Errachidia;Total ville;MLE;2003;523;103
Errachidia;Total ville;MLE;2004;527;103
Errachidia;Total ville;MLE;2005;532;104
Errachidia;Total ville;MLE;2006;536;105
Errachidia;Total ville;MLE;2007;540;106
Errachidia;Total ville;MLE;2008;545;106
Errachidia;Total ville;MLE;2009;549;107
Errachidia;Total ville;MLE;2010;554;108
